Date,Total sleep time,Nap duration,Starting sleep time(night),Ending sleep time(night),Number of times woken up during sleep,Sleep during night,Total night sleep
2021-07-13 ,5 hours 37 min,5 hours 30 min,21:02:21,21:03:21,14,Yes,0 hours 7 min
2021-07-14 ,6 hours 3 min,6 hours 3 min,,,16,No,0 hours 0 min
2021-07-15 ,6 hours 18 min,6 hours 6 min,20:49:14,21:01:14,18,Yes,0 hours 12 min
2021-07-16 ,4 hours 12 min,4 hours 12 min,,,13,No,0 hours 0 min
2021-07-17 ,5 hours 0 min,5 hours 0 min,,,16,No,0 hours 0 min
2021-07-18 ,9 hours 5 min,8 hours 28 min,21:07:29,21:32:29,23,Yes,0 hours 37 min
2021-07-19 ,5 hours 24 min,5 hours 24 min,,,15,No,0 hours 0 min
2021-07-20 ,8 hours 10 min,7 hours 24 min,21:01:26,21:28:26,12,Yes,0 hours 46 min
2021-07-21 ,7 hours 43 min,7 hours 8 min,21:04:37,21:34:37,17,Yes,0 hours 35 min
2021-07-22 ,6 hours 41 min,6 hours 8 min,21:00:34,21:23:34,17,Yes,0 hours 33 min
2021-07-23 ,5 hours 44 min,5 hours 44 min,,,14,No,0 hours 0 min
2021-07-24 ,5 hours 3 min,3 hours 36 min,21:03:17,22:30:17,19,Yes,1 hours 27 min
2021-07-25 ,7 hours 53 min,6 hours 13 min,01:30:24,02:52:24,21,Yes,1 hours 40 min
2021-07-26 ,4 hours 48 min,4 hours 27 min,21:02:55,21:05:55,16,Yes,0 hours 21 min
2021-07-27 ,5 hours 17 min,5 hours 17 min,,,14,No,0 hours 0 min
2021-07-28 ,6 hours 18 min,5 hours 59 min,21:05:17,21:09:17,14,Yes,0 hours 19 min
2021-07-29 ,6 hours 15 min,6 hours 15 min,,,18,No,0 hours 0 min
2021-07-30 ,5 hours 15 min,4 hours 47 min,21:11:33,21:17:33,14,Yes,0 hours 28 min
2021-07-31 ,7 hours 51 min,6 hours 5 min,22:04:02,23:50:02,19,Yes,1 hours 46 min
2021-08-01 ,19 hours 55 min,6 hours 59 min,00:02:02,00:02:02,17,Yes,12 hours 56 min
2021-08-02 ,5 hours 20 min,5 hours 20 min,,,13,No,0 hours 0 min
2021-08-03 ,3 hours 0 min,3 hours 0 min,,,6,No,0 hours 0 min
2021-08-04 ,6 hours 17 min,6 hours 17 min,,,13,No,0 hours 0 min
2021-08-05 ,7 hours 35 min,7 hours 35 min,,,17,No,0 hours 0 min
2021-08-06 ,4 hours 39 min,4 hours 39 min,,,13,No,0 hours 0 min
2021-08-07 ,7 hours 49 min,6 hours 36 min,21:20:37,22:12:37,24,Yes,1 hours 13 min
2021-08-08 ,5 hours 14 min,5 hours 14 min,,,15,No,0 hours 0 min
2021-08-09 ,6 hours 27 min,6 hours 27 min,,,15,No,0 hours 0 min
2021-08-10 ,7 hours 42 min,7 hours 42 min,,,21,No,0 hours 0 min
2021-08-11 ,6 hours 54 min,6 hours 54 min,,,14,No,0 hours 0 min
2021-08-12 ,5 hours 35 min,5 hours 35 min,,,13,No,0 hours 0 min
2021-08-13 ,8 hours 2 min,7 hours 45 min,21:01:27,21:11:27,14,Yes,0 hours 17 min
2021-08-14 ,6 hours 46 min,6 hours 46 min,,,18,No,0 hours 0 min
2021-08-15 ,9 hours 21 min,5 hours 50 min,02:58:11,21:33:23,22,Yes,3 hours 31 min
2021-08-16 ,6 hours 2 min,5 hours 39 min,21:15:33,21:21:33,14,Yes,0 hours 23 min
2021-08-17 ,6 hours 47 min,6 hours 29 min,21:07:37,21:13:37,21,Yes,0 hours 18 min
2021-08-18 ,5 hours 11 min,5 hours 11 min,,,11,No,0 hours 0 min
2021-08-19 ,8 hours 6 min,7 hours 28 min,21:04:49,21:34:49,14,Yes,0 hours 38 min
2021-08-20 ,6 hours 6 min,6 hours 6 min,,,16,No,0 hours 0 min
2021-08-21 ,8 hours 51 min,7 hours 19 min,21:00:28,22:31:28,22,Yes,1 hours 32 min
2021-08-22 ,6 hours 22 min,6 hours 22 min,,,13,No,0 hours 0 min
2021-08-23 ,7 hours 50 min,6 hours 46 min,21:06:53,21:42:53,17,Yes,1 hours 4 min
2021-08-24 ,6 hours 57 min,6 hours 25 min,21:09:31,21:31:31,18,Yes,0 hours 32 min
2021-08-25 ,6 hours 33 min,6 hours 33 min,,,17,No,0 hours 0 min
2021-08-26 ,5 hours 5 min,5 hours 5 min,,,16,No,0 hours 0 min
2021-08-27 ,6 hours 4 min,6 hours 4 min,,,11,No,0 hours 0 min
2021-08-28 ,7 hours 38 min,7 hours 14 min,21:13:38,21:37:38,16,Yes,0 hours 24 min
2021-08-29 ,6 hours 19 min,6 hours 19 min,,,16,No,0 hours 0 min
2021-08-30 ,9 hours 6 min,8 hours 33 min,21:04:05,21:32:05,19,Yes,0 hours 33 min
2021-08-31 ,6 hours 57 min,6 hours 57 min,,,14,No,0 hours 0 min
2021-09-01 ,7 hours 39 min,6 hours 56 min,21:24:22,21:37:22,13,Yes,0 hours 43 min
2021-09-02 ,6 hours 39 min,6 hours 39 min,,,15,No,0 hours 0 min
2021-09-03 ,6 hours 17 min,6 hours 17 min,,,13,No,0 hours 0 min
2021-09-04 ,7 hours 12 min,6 hours 26 min,21:59:31,23:58:31,21,Yes,0 hours 46 min
2021-09-05 ,7 hours 1 min,6 hours 56 min,00:58:31,00:59:31,18,Yes,0 hours 5 min
2021-09-06 ,6 hours 51 min,6 hours 51 min,,,14,No,0 hours 0 min
2021-09-07 ,4 hours 41 min,4 hours 41 min,,,14,No,0 hours 0 min
2021-09-08 ,7 hours 41 min,7 hours 41 min,,,18,No,0 hours 0 min
2021-09-09 ,7 hours 57 min,7 hours 57 min,,,16,No,0 hours 0 min
2021-09-10 ,4 hours 58 min,4 hours 58 min,,,8,No,0 hours 0 min
2021-09-11 ,8 hours 33 min,6 hours 32 min,21:07:15,23:47:54,17,Yes,2 hours 1 min
2021-09-12 ,10 hours 7 min,6 hours 52 min,00:28:54,06:18:56,24,Yes,3 hours 15 min
2021-09-13 ,7 hours 30 min,7 hours 30 min,,,16,No,0 hours 0 min
2021-09-14 ,5 hours 34 min,5 hours 34 min,,,12,No,0 hours 0 min
2021-09-15 ,7 hours 15 min,7 hours 15 min,,,20,No,0 hours 0 min
2021-09-16 ,7 hours 18 min,7 hours 18 min,,,20,No,0 hours 0 min
2021-09-17 ,7 hours 27 min,7 hours 27 min,,,15,No,0 hours 0 min
2021-09-18 ,5 hours 33 min,5 hours 17 min,23:33:58,23:49:58,15,Yes,0 hours 16 min
2021-09-19 ,1 hours 47 min,0 hours 0 min,00:23:58,02:10:58,5,Yes,1 hours 47 min
2021-09-20 ,5 hours 29 min,5 hours 29 min,,,12,No,0 hours 0 min
2021-09-21 ,8 hours 25 min,5 hours 45 min,03:44:03,23:26:08,16,Yes,2 hours 40 min
2021-09-22 ,7 hours 38 min,7 hours 1 min,02:30:51,03:44:51,15,Yes,0 hours 37 min
2021-09-23 ,6 hours 9 min,5 hours 53 min,21:00:37,21:03:37,18,Yes,0 hours 16 min
2021-09-24 ,5 hours 22 min,5 hours 22 min,,,15,No,0 hours 0 min
2021-09-25 ,4 hours 32 min,4 hours 32 min,,,14,No,0 hours 0 min
2021-09-26 ,8 hours 41 min,8 hours 14 min,21:07:25,21:18:25,16,Yes,0 hours 27 min
2021-09-27 ,7 hours 52 min,7 hours 52 min,20:44:42,21:24:42,23,No,0 hours 0 min
2021-09-28 ,5 hours 41 min,5 hours 41 min,,,11,No,0 hours 0 min
2021-09-29 ,5 hours 58 min,5 hours 58 min,,,12,No,0 hours 0 min
2021-09-30 ,5 hours 51 min,5 hours 51 min,,,11,No,0 hours 0 min
2021-10-01 ,5 hours 51 min,5 hours 51 min,,,15,No,0 hours 0 min
2021-10-02 ,5 hours 16 min,5 hours 16 min,,,13,No,0 hours 0 min
