Date,Total sleep time,Nap duration,Starting sleep time(night),Ending sleep time(night),Number of times woken up during sleep,Sleep during night,Total night sleep
2021-07-03 ,6 hours 0 min,3 hours 36 min,21:00:47,23:56:47,11,Yes,2 hours 24 min
2021-07-04 ,5 hours 56 min,4 hours 17 min,00:01:47,21:53:51,13,Yes,1 hours 39 min
2021-07-05 ,4 hours 40 min,4 hours 40 min,,,11,No,0 hours 0 min
2021-07-06 ,4 hours 52 min,4 hours 7 min,21:09:10,21:32:10,12,Yes,0 hours 45 min
2021-07-09 ,4 hours 58 min,3 hours 23 min,21:09:41,23:55:41,13,Yes,1 hours 35 min
2021-07-10 ,0 hours 30 min,0 hours 0 min,00:01:41,00:31:41,1,Yes,0 hours 30 min
2021-07-11 ,5 hours 36 min,4 hours 1 min,06:13:24,22:00:24,13,Yes,1 hours 35 min
2021-07-12 ,5 hours 53 min,3 hours 15 min,05:25:26,22:15:26,13,Yes,2 hours 38 min
2021-07-13 ,5 hours 56 min,3 hours 26 min,05:41:27,22:10:29,14,Yes,2 hours 30 min
2021-07-14 ,3 hours 49 min,2 hours 45 min,06:38:28,21:36:50,9,Yes,1 hours 4 min
2021-07-15 ,3 hours 44 min,2 hours 19 min,21:05:47,22:14:47,10,Yes,1 hours 25 min
2021-07-17 ,5 hours 14 min,1 hours 50 min,05:07:29,23:54:30,12,Yes,3 hours 24 min
2021-07-18 ,21 hours 16 min,3 hours 0 min,00:01:30,22:14:10,10,Yes,18 hours 16 min
2021-07-20 ,4 hours 46 min,3 hours 58 min,21:00:05,21:42:05,8,Yes,0 hours 48 min
2021-07-21 ,2 hours 42 min,1 hours 43 min,21:10:45,21:56:45,6,Yes,0 hours 59 min
2021-07-22 ,5 hours 21 min,3 hours 16 min,21:00:22,23:56:23,14,Yes,2 hours 5 min
2021-07-23 ,12 hours 2 min,2 hours 7 min,00:11:23,23:53:39,19,Yes,9 hours 55 min
2021-07-24 ,0 hours 47 min,0 hours 0 min,00:14:39,01:01:39,2,Yes,0 hours 47 min
2021-07-25 ,6 hours 10 min,3 hours 28 min,21:00:30,23:31:30,15,Yes,2 hours 42 min
