Date,Total sleep time,Nap duration,Starting sleep time(night),Ending sleep time(night),Number of times woken up during sleep,Sleep during night,Total night sleep
2021-07-03 ,6 hours 23 min,4 hours 38 min, 21:57:04, 23:42:04,14,Yes,1 hours 45 min
2021-07-04 ,4 hours 17 min,4 hours 17 min,,,9,No,0 hours 0 min
2021-07-05 ,5 hours 28 min,5 hours 28 min,,,12,No,0 hours 0 min
2021-07-06 ,4 hours 51 min,4 hours 51 min,,,10,No,0 hours 0 min
2021-07-07 ,6 hours 29 min,6 hours 29 min,,,15,No,0 hours 0 min
2021-07-08 ,5 hours 22 min,5 hours 22 min,,,14,No,0 hours 0 min
2021-07-10 ,6 hours 40 min,4 hours 58 min, 22:08:16, 23:50:16,15,Yes,1 hours 42 min
2021-07-11 ,6 hours 11 min,6 hours 11 min,,,14,No,0 hours 0 min
2021-07-12 ,6 hours 28 min,6 hours 28 min,,,11,No,0 hours 0 min
2021-07-13 ,6 hours 5 min,6 hours 5 min,,,12,No,0 hours 0 min
2021-07-14 ,6 hours 40 min,6 hours 40 min,,,16,No,0 hours 0 min
2021-07-15 ,5 hours 17 min,5 hours 17 min,,,13,No,0 hours 0 min
2021-07-16 ,6 hours 57 min,6 hours 57 min,,,17,No,0 hours 0 min
2021-07-17 ,6 hours 10 min,5 hours 31 min, 21:00:28, 22:17:28,13,Yes,0 hours 39 min
2021-07-18 ,5 hours 13 min,5 hours 13 min,,,11,No,0 hours 0 min
2021-07-19 ,6 hours 14 min,6 hours 14 min,,,13,No,0 hours 0 min
2021-07-20 ,3 hours 40 min,3 hours 40 min,,,11,No,0 hours 0 min
2021-07-21 ,5 hours 10 min,4 hours 4 min, 03:13:32, 04:17:32,13,Yes,1 hours 6 min
2021-07-22 ,7 hours 59 min,6 hours 33 min, 03:00:51, 04:56:51,21,Yes,1 hours 26 min
2021-07-23 ,5 hours 27 min,5 hours 27 min,,,12,No,0 hours 0 min
2021-07-24 ,5 hours 13 min,5 hours 13 min,,,12,No,0 hours 0 min
2021-07-25 ,6 hours 20 min,6 hours 20 min,,,11,No,0 hours 0 min
