Date,Total sleep time,Nap duration,Starting sleep time(night),Ending sleep time(night),Number of times woken up during sleep,Sleep during night,Total night sleep
2021-07-13 ,4 hours 39 min,4 hours 39 min,,,14,No,0 hours 0 min
2021-07-14 ,5 hours 44 min,5 hours 44 min,,,17,No,0 hours 0 min
2021-07-15 ,8 hours 4 min,5 hours 33 min,05:23:02,07:53:02,19,Yes,2 hours 31 min
2021-07-16 ,5 hours 25 min,5 hours 25 min,,,11,No,0 hours 0 min
2021-07-17 ,5 hours 57 min,5 hours 57 min,,,13,No,0 hours 0 min
2021-07-18 ,1 hours 12 min,0 hours 0 min,01:40:20,02:52:21,2,Yes,1 hours 12 min
2021-07-19 ,1 hours 23 min,0 hours 0 min,05:57:26,07:20:27,4,Yes,1 hours 23 min
2021-07-20 ,9 hours 18 min,6 hours 34 min,02:55:16,21:17:17,25,Yes,2 hours 44 min
2021-07-21 ,11 hours 22 min,6 hours 53 min,02:37:17,07:38:17,27,Yes,4 hours 29 min
2021-07-22 ,5 hours 10 min,5 hours 10 min,,,18,No,0 hours 0 min
2021-07-23 ,1 hours 28 min,0 hours 17 min,03:02:15,08:48:15,4,Yes,1 hours 11 min
2021-07-24 ,6 hours 53 min,6 hours 4 min,02:21:19,23:58:19,19,Yes,0 hours 49 min
2021-07-25 ,5 hours 33 min,0 hours 0 min,00:01:19,08:27:20,9,Yes,5 hours 33 min
2021-07-26 ,1 hours 36 min,0 hours 0 min,21:35:30,23:51:30,3,Yes,1 hours 36 min
2021-07-27 ,4 hours 40 min,0 hours 0 min,00:03:30,08:37:31,9,Yes,4 hours 40 min
2021-07-28 ,1 hours 59 min,0 hours 0 min,06:09:27,08:08:28,2,Yes,1 hours 59 min
2021-07-29 ,1 hours 32 min,0 hours 0 min,04:48:44,06:20:45,2,Yes,1 hours 32 min
2021-07-30 ,2 hours 48 min,0 hours 0 min,05:13:30,08:01:31,1,Yes,2 hours 48 min
2021-07-31 ,1 hours 9 min,0 hours 0 min,03:48:48,04:57:49,1,Yes,1 hours 9 min
2021-08-01 ,3 hours 25 min,0 hours 0 min,05:32:59,08:57:59,2,Yes,3 hours 25 min
2021-08-02 ,2 hours 56 min,0 hours 19 min,06:29:21,08:48:21,1,Yes,2 hours 37 min
2021-08-03 ,1 hours 51 min,0 hours 0 min,03:39:51,05:30:51,2,Yes,1 hours 51 min
