Date,Total sleep time,Nap duration,Starting sleep time(night),Ending sleep time(night),Number of times woken up during sleep,Sleep during night,Total night sleep
2021-08-24 ,1 hours 50 min,1 hours 32 min,21:10:20,21:17:20,8,Yes,0 hours 18 min
2021-08-25 ,4 hours 40 min,4 hours 40 min,,,14,No,0 hours 0 min
2021-08-26 ,5 hours 35 min,5 hours 7 min,21:03:53,21:21:53,14,Yes,0 hours 28 min
2021-08-27 ,5 hours 44 min,5 hours 31 min,21:25:02,21:39:00,20,Yes,0 hours 13 min
2021-08-28 ,6 hours 37 min,5 hours 47 min,21:00:13,21:25:28,15,Yes,0 hours 50 min
2021-08-29 ,4 hours 14 min,3 hours 39 min,21:11:51,21:31:38,15,Yes,0 hours 34 min
2021-08-30 ,3 hours 53 min,3 hours 15 min,21:02:34,21:28:36,10,Yes,0 hours 38 min
2021-08-31 ,3 hours 17 min,1 hours 49 min,22:08:36,23:36:58,10,Yes,1 hours 28 min
2021-09-01 ,4 hours 15 min,3 hours 50 min,21:14:49,21:40:33,12,Yes,0 hours 25 min
2021-09-02 ,6 hours 46 min,5 hours 19 min,21:07:18,22:56:18,18,Yes,1 hours 27 min
2021-09-04 ,4 hours 29 min,2 hours 41 min,06:12:59,21:15:38,14,Yes,1 hours 48 min
2021-09-05 ,5 hours 26 min,5 hours 13 min,20:54:58,21:07:58,18,Yes,0 hours 13 min
2021-09-06 ,4 hours 18 min,2 hours 33 min,21:01:01,22:37:01,11,Yes,1 hours 45 min
2021-09-07 ,2 hours 39 min,2 hours 28 min,21:15:48,21:26:48,9,Yes,0 hours 11 min
2021-09-08 ,7 hours 4 min,5 hours 45 min,04:37:56,05:37:56,20,Yes,1 hours 19 min
2021-09-09 ,3 hours 49 min,3 hours 30 min,21:09:47,21:28:47,16,Yes,0 hours 19 min
2021-09-10 ,5 hours 40 min,5 hours 13 min,21:15:32,21:26:32,11,Yes,0 hours 27 min
2021-09-11 ,3 hours 57 min,3 hours 21 min,21:02:12,21:28:12,12,Yes,0 hours 36 min
2021-09-12 ,6 hours 4 min,4 hours 56 min,21:00:39,21:58:39,15,Yes,1 hours 8 min
2021-09-13 ,3 hours 3 min,2 hours 27 min,21:04:54,21:20:54,7,Yes,0 hours 36 min
2021-09-14 ,3 hours 11 min,3 hours 11 min,,,12,No,0 hours 0 min
2021-09-15 ,6 hours 12 min,5 hours 51 min,21:00:28,21:20:28,14,Yes,0 hours 21 min
2021-09-16 ,4 hours 39 min,4 hours 39 min,,,9,No,0 hours 0 min
2021-09-17 ,6 hours 20 min,3 hours 49 min,05:29:09,23:34:57,21,Yes,2 hours 31 min
2021-09-18 ,3 hours 53 min,3 hours 17 min,21:12:06,21:30:06,8,Yes,0 hours 36 min
2021-09-19 ,4 hours 24 min,4 hours 24 min,,,10,No,0 hours 0 min
2021-09-20 ,3 hours 53 min,3 hours 53 min,,,11,No,0 hours 0 min
2021-09-21 ,3 hours 1 min,2 hours 52 min,21:00:19,21:08:19,6,Yes,0 hours 9 min
2021-09-22 ,6 hours 29 min,5 hours 42 min,21:12:51,22:20:44,18,Yes,0 hours 46 min
2021-09-23 ,4 hours 27 min,4 hours 4 min,21:16:20,21:18:18,11,Yes,0 hours 22 min
2021-09-24 ,4 hours 16 min,3 hours 50 min,22:40:32,23:06:32,14,Yes,0 hours 26 min
2021-10-08 ,2 hours 50 min,1 hours 9 min,21:00:25,22:40:25,7,Yes,1 hours 41 min
2021-10-09 ,5 hours 20 min,4 hours 46 min,21:11:57,21:31:50,11,Yes,0 hours 34 min
2021-10-10 ,5 hours 51 min,5 hours 51 min,,,16,No,0 hours 0 min
2021-10-11 ,0 hours 47 min,0 hours 47 min,,,2,No,0 hours 0 min
2021-10-12 ,3 hours 5 min,3 hours 5 min,,,6,No,0 hours 0 min
2021-10-13 ,7 hours 10 min,5 hours 1 min,04:27:51,21:22:40,21,Yes,2 hours 9 min
2021-10-14 ,8 hours 8 min,6 hours 39 min,21:06:26,22:15:26,19,Yes,1 hours 29 min
2021-10-15 ,5 hours 48 min,4 hours 45 min,21:03:16,21:43:16,11,Yes,1 hours 3 min
2021-10-16 ,5 hours 17 min,4 hours 2 min,21:01:46,22:07:46,10,Yes,1 hours 15 min
2021-10-17 ,6 hours 35 min,4 hours 37 min,07:21:09,08:48:09,15,Yes,1 hours 58 min
2021-10-18 ,5 hours 17 min,5 hours 3 min,21:15:21,21:28:41,16,Yes,0 hours 13 min
2021-10-19 ,4 hours 24 min,4 hours 10 min,20:49:41,21:03:41,12,Yes,0 hours 14 min
2021-10-20 ,6 hours 51 min,6 hours 39 min,21:23:06,22:19:06,17,Yes,0 hours 12 min
2021-10-21 ,8 hours 18 min,7 hours 38 min,21:06:58,21:32:39,19,Yes,0 hours 39 min
2021-10-22 ,4 hours 13 min,4 hours 1 min,21:00:01,21:07:01,6,Yes,0 hours 12 min
2021-10-23 ,5 hours 20 min,5 hours 20 min,20:44:06,21:15:06,13,No,0 hours 0 min
2021-10-24 ,5 hours 15 min,4 hours 8 min,04:09:33,04:57:33,14,Yes,1 hours 7 min
2021-10-25 ,3 hours 0 min,2 hours 21 min,21:02:21,21:41:21,7,Yes,0 hours 39 min
2021-10-26 ,5 hours 37 min,5 hours 37 min,,,14,No,0 hours 0 min
2021-10-27 ,5 hours 7 min,4 hours 50 min,21:01:41,21:13:41,12,Yes,0 hours 17 min
2021-10-28 ,3 hours 50 min,2 hours 11 min,21:00:27,22:31:27,8,Yes,1 hours 39 min
2021-10-29 ,3 hours 31 min,3 hours 19 min,21:15:32,21:27:32,11,Yes,0 hours 12 min
2021-10-30 ,7 hours 1 min,6 hours 54 min,21:39:10,21:46:26,13,Yes,0 hours 7 min
2021-10-31 ,7 hours 7 min,7 hours 7 min,,,15,No,0 hours 0 min
2021-11-01 ,4 hours 39 min,3 hours 41 min,21:03:48,22:02:35,12,Yes,0 hours 58 min
2021-11-02 ,9 hours 15 min,8 hours 33 min,21:14:23,21:38:05,18,Yes,0 hours 42 min
2021-11-03 ,5 hours 9 min,4 hours 48 min,21:13:24,21:15:29,13,Yes,0 hours 21 min
2021-11-04 ,5 hours 37 min,5 hours 37 min,,,11,No,0 hours 0 min
2021-11-05 ,7 hours 8 min,7 hours 0 min,21:01:37,21:04:13,13,Yes,0 hours 8 min
2021-11-06 ,5 hours 57 min,3 hours 12 min,04:22:02,21:39:42,18,Yes,2 hours 44 min
2021-11-07 ,5 hours 33 min,5 hours 33 min,,,7,No,0 hours 0 min
2021-11-08 ,2 hours 49 min,2 hours 20 min,22:43:09,23:43:23,13,Yes,0 hours 29 min
2021-11-09 ,7 hours 5 min,6 hours 27 min,21:01:29,21:22:29,16,Yes,0 hours 38 min
2021-11-10 ,4 hours 47 min,4 hours 12 min,21:04:10,21:29:10,8,Yes,0 hours 35 min
2021-11-11 ,6 hours 10 min,6 hours 5 min,21:00:33,21:04:33,17,Yes,0 hours 5 min
2021-11-12 ,7 hours 45 min,5 hours 11 min,08:09:06,21:41:12,18,Yes,2 hours 34 min
2021-11-13 ,4 hours 40 min,4 hours 4 min,21:10:12,22:59:12,19,Yes,0 hours 36 min
2021-11-14 ,2 hours 29 min,1 hours 48 min,21:14:47,21:30:47,8,Yes,0 hours 41 min
2021-11-15 ,4 hours 48 min,2 hours 49 min,07:14:35,08:43:35,12,Yes,1 hours 59 min
2021-11-16 ,8 hours 52 min,7 hours 18 min,08:13:24,21:32:35,23,Yes,1 hours 34 min
2021-11-17 ,6 hours 17 min,5 hours 22 min,21:21:54,22:16:54,18,Yes,0 hours 55 min
2021-11-18 ,7 hours 52 min,6 hours 37 min,21:01:01,23:33:19,20,Yes,1 hours 15 min
2021-11-19 ,6 hours 0 min,5 hours 38 min,00:01:19,00:06:19,16,Yes,0 hours 22 min
2021-11-20 ,3 hours 12 min,3 hours 12 min,,,13,No,0 hours 0 min
2021-11-21 ,4 hours 24 min,4 hours 24 min,,,16,No,0 hours 0 min
2021-11-22 ,2 hours 54 min,2 hours 38 min,21:01:55,21:53:33,9,Yes,0 hours 16 min
2021-11-23 ,5 hours 9 min,4 hours 59 min,21:05:29,21:52:19,14,Yes,0 hours 9 min
2021-11-24 ,7 hours 7 min,5 hours 13 min,07:35:01,22:04:45,18,Yes,1 hours 54 min
2021-11-25 ,3 hours 28 min,1 hours 53 min,21:03:12,23:38:54,14,Yes,1 hours 35 min
2021-11-26 ,4 hours 28 min,4 hours 28 min,,,11,No,0 hours 0 min
2021-11-27 ,5 hours 33 min,5 hours 33 min,,,15,No,0 hours 0 min
2021-11-28 ,4 hours 25 min,3 hours 25 min,21:03:41,21:58:41,7,Yes,1 hours 0 min
2021-11-29 ,4 hours 30 min,4 hours 30 min,,,9,No,0 hours 0 min
2021-11-30 ,4 hours 50 min,2 hours 39 min,21:01:05,23:53:29,16,Yes,2 hours 11 min
2021-12-01 ,0 hours 16 min,0 hours 0 min,00:04:29,00:20:29,0,Yes,0 hours 16 min
2021-12-08 ,2 hours 47 min,2 hours 47 min,,,8,No,0 hours 0 min
2021-12-09 ,5 hours 40 min,5 hours 31 min,21:27:33,21:36:12,11,Yes,0 hours 8 min
2021-12-10 ,8 hours 44 min,7 hours 20 min,21:04:05,22:17:46,18,Yes,1 hours 23 min
2021-12-11 ,4 hours 3 min,3 hours 37 min,21:24:53,21:51:24,15,Yes,0 hours 26 min
2021-12-12 ,4 hours 46 min,4 hours 18 min,21:11:08,21:23:05,9,Yes,0 hours 28 min
2021-12-13 ,6 hours 31 min,4 hours 12 min,05:46:26,21:37:43,17,Yes,2 hours 19 min
2021-12-14 ,4 hours 54 min,2 hours 19 min,21:09:36,23:24:45,11,Yes,2 hours 35 min
2021-12-15 ,5 hours 8 min,4 hours 41 min,00:02:45,21:38:34,18,Yes,0 hours 27 min
2021-12-16 ,4 hours 2 min,3 hours 1 min,21:11:04,21:46:04,6,Yes,1 hours 1 min
2021-12-17 ,0 hours 12 min,0 hours 12 min,,,0,No,0 hours 0 min
