Date,Total sleep time,Nap duration,Starting sleep time(night),Ending sleep time(night),Number of times woken up during sleep,Sleep during night,Total night sleep
2021-07-03 ,7 hours 17 min,5 hours 51 min,21:15:21,22:18:21,20,Yes,1 hours 26 min
2021-07-04 ,4 hours 13 min,4 hours 3 min,21:26:40,21:36:40,9,Yes,0 hours 10 min
2021-07-05 ,5 hours 47 min,5 hours 16 min,21:13:33,21:30:33,12,Yes,0 hours 31 min
2021-07-06 ,5 hours 21 min,4 hours 50 min,21:00:36,21:30:36,13,Yes,0 hours 31 min
2021-07-07 ,2 hours 2 min,1 hours 18 min,21:01:10,21:29:10,3,Yes,0 hours 44 min
2021-07-08 ,5 hours 43 min,4 hours 22 min,07:29:14,21:26:14,16,Yes,1 hours 21 min
2021-07-09 ,5 hours 8 min,4 hours 23 min,21:09:17,21:43:17,14,Yes,0 hours 45 min
2021-07-10 ,5 hours 25 min,4 hours 30 min,21:37:36,22:32:36,14,Yes,0 hours 55 min
2021-07-11 ,7 hours 4 min,4 hours 37 min,06:55:48,21:55:52,16,Yes,2 hours 27 min
2021-07-12 ,5 hours 4 min,4 hours 44 min,21:21:54,21:41:54,11,Yes,0 hours 20 min
2021-07-13 ,4 hours 35 min,4 hours 5 min,21:00:51,21:28:51,11,Yes,0 hours 30 min
2021-07-14 ,4 hours 49 min,3 hours 56 min,21:18:23,21:46:23,12,Yes,0 hours 53 min
2021-07-15 ,6 hours 12 min,5 hours 43 min,21:03:24,21:28:24,14,Yes,0 hours 29 min
2021-07-16 ,5 hours 20 min,4 hours 35 min,21:12:34,21:41:34,16,Yes,0 hours 45 min
2021-07-17 ,4 hours 59 min,4 hours 24 min,21:57:36,22:32:36,12,Yes,0 hours 35 min
2021-07-18 ,5 hours 55 min,5 hours 11 min,21:00:38,21:29:38,14,Yes,0 hours 44 min
2021-07-19 ,6 hours 9 min,5 hours 14 min,21:03:02,21:40:02,13,Yes,0 hours 55 min
2021-07-20 ,6 hours 15 min,5 hours 9 min,21:02:30,21:49:30,14,Yes,1 hours 6 min
2021-07-21 ,4 hours 0 min,3 hours 14 min,21:19:34,21:36:34,8,Yes,0 hours 46 min
2021-07-22 ,5 hours 20 min,5 hours 11 min,21:01:35,21:08:35,13,Yes,0 hours 9 min
2021-07-23 ,4 hours 24 min,3 hours 10 min,21:01:11,21:53:11,11,Yes,1 hours 14 min
2021-07-24 ,6 hours 28 min,5 hours 53 min,21:00:52,21:34:52,15,Yes,0 hours 35 min
2021-07-25 ,5 hours 35 min,4 hours 51 min,21:08:00,21:36:00,17,Yes,0 hours 44 min
2021-07-26 ,6 hours 50 min,6 hours 9 min,21:00:01,21:30:01,15,Yes,0 hours 41 min
2021-07-27 ,6 hours 32 min,5 hours 55 min,21:00:06,21:36:06,11,Yes,0 hours 37 min
2021-07-28 ,5 hours 47 min,5 hours 3 min,21:04:08,21:48:08,12,Yes,0 hours 44 min
2021-07-29 ,5 hours 44 min,5 hours 27 min,21:02:15,21:19:15,14,Yes,0 hours 17 min
2021-07-30 ,4 hours 9 min,3 hours 29 min,21:03:18,21:29:18,13,Yes,0 hours 40 min
2021-07-31 ,4 hours 17 min,3 hours 42 min,21:04:59,21:39:59,12,Yes,0 hours 35 min
2021-08-01 ,5 hours 3 min,4 hours 29 min,21:16:07,21:26:07,12,Yes,0 hours 34 min
2021-08-02 ,5 hours 27 min,4 hours 57 min,21:18:08,21:29:08,8,Yes,0 hours 30 min
2021-08-03 ,7 hours 27 min,6 hours 56 min,21:00:10,21:29:10,14,Yes,0 hours 31 min
2021-08-04 ,6 hours 1 min,4 hours 17 min,06:38:15,21:29:17,14,Yes,1 hours 44 min
2021-08-05 ,4 hours 53 min,4 hours 53 min,,,10,No,0 hours 0 min
2021-08-06 ,5 hours 54 min,5 hours 13 min,21:06:47,21:24:47,14,Yes,0 hours 41 min
2021-08-07 ,7 hours 8 min,6 hours 4 min,21:02:58,22:54:58,12,Yes,1 hours 4 min
2021-08-08 ,5 hours 38 min,4 hours 57 min,21:05:01,21:37:01,12,Yes,0 hours 41 min
2021-08-09 ,4 hours 0 min,3 hours 50 min,21:15:58,21:25:58,10,Yes,0 hours 10 min
2021-08-11 ,5 hours 8 min,4 hours 31 min,21:03:15,21:29:15,14,Yes,0 hours 37 min
2021-08-12 ,5 hours 27 min,4 hours 56 min,21:01:16,21:29:16,15,Yes,0 hours 31 min
2021-08-13 ,6 hours 19 min,4 hours 59 min,21:07:21,22:13:21,12,Yes,1 hours 20 min
2021-08-14 ,4 hours 56 min,4 hours 5 min,21:15:28,21:47:28,16,Yes,0 hours 51 min
2021-08-15 ,6 hours 24 min,5 hours 35 min,21:00:43,21:37:43,15,Yes,0 hours 49 min
2021-08-16 ,4 hours 40 min,4 hours 7 min,21:04:45,21:29:45,16,Yes,0 hours 33 min
2021-08-17 ,6 hours 15 min,5 hours 24 min,21:19:47,21:41:47,18,Yes,0 hours 51 min
2021-08-18 ,3 hours 59 min,3 hours 19 min,21:07:51,21:38:51,10,Yes,0 hours 40 min
