Date,Total sleep time,Nap duration,Starting sleep time(night),Ending sleep time(night),Number of times woken up during sleep,Sleep during night,Total night sleep
2021-07-14 ,3 hours 25 min,3 hours 25 min,,,6,No,0 hours 0 min
2021-07-16 ,4 hours 9 min,4 hours 9 min,,,8,No,0 hours 0 min
2021-07-17 ,5 hours 37 min,5 hours 37 min,,,14,No,0 hours 0 min
2021-07-18 ,7 hours 30 min,7 hours 26 min,20:57:09,21:01:09,14,Yes,0 hours 4 min
2021-07-19 ,6 hours 58 min,6 hours 58 min,,,16,No,0 hours 0 min
2021-07-20 ,4 hours 20 min,4 hours 20 min,,,6,No,0 hours 0 min
2021-07-23 ,1 hours 1 min,0 hours 0 min,00:13:37,01:14:37,2,Yes,1 hours 1 min
2021-07-28 ,3 hours 27 min,1 hours 21 min,06:03:48,08:56:48,5,Yes,2 hours 6 min
2021-08-01 ,7 hours 35 min,7 hours 35 min,,,16,No,0 hours 0 min
2021-08-04 ,1 hours 17 min,1 hours 17 min,,,2,No,0 hours 0 min
2021-08-05 ,1 hours 43 min,0 hours 0 min,04:12:40,06:31:40,2,Yes,1 hours 43 min
2021-08-07 ,2 hours 52 min,2 hours 52 min,,,4,No,0 hours 0 min
2021-08-11 ,1 hours 44 min,0 hours 0 min,01:11:38,02:55:38,1,Yes,1 hours 44 min
2021-08-13 ,4 hours 50 min,4 hours 50 min,,,12,No,0 hours 0 min
2021-08-14 ,4 hours 22 min,4 hours 22 min,,,9,No,0 hours 0 min
2021-08-16 ,6 hours 58 min,6 hours 58 min,,,19,No,0 hours 0 min
2021-08-17 ,4 hours 23 min,4 hours 13 min,21:00:11,21:06:11,15,Yes,0 hours 10 min
2021-08-18 ,2 hours 26 min,0 hours 0 min,05:32:11,07:58:11,1,Yes,2 hours 26 min
2021-08-19 ,8 hours 56 min,7 hours 31 min,06:42:27,07:58:27,18,Yes,1 hours 25 min
2021-08-20 ,5 hours 30 min,5 hours 30 min,,,11,No,0 hours 0 min
2021-08-21 ,1 hours 23 min,1 hours 23 min,,,1,No,0 hours 0 min
2021-08-23 ,8 hours 35 min,7 hours 59 min,21:01:37,21:30:37,16,Yes,0 hours 36 min
2021-08-26 ,4 hours 53 min,4 hours 53 min,,,13,No,0 hours 0 min
2021-08-27 ,5 hours 5 min,5 hours 5 min,,,12,No,0 hours 0 min
2021-08-28 ,8 hours 32 min,6 hours 0 min,03:37:59,06:03:59,17,Yes,2 hours 32 min
2021-08-29 ,8 hours 20 min,8 hours 20 min,,,14,No,0 hours 0 min
2021-09-01 ,1 hours 36 min,0 hours 0 min,05:34:51,07:10:51,1,Yes,1 hours 36 min
2021-09-03 ,7 hours 48 min,7 hours 48 min,,,13,No,0 hours 0 min
2021-09-04 ,1 hours 12 min,1 hours 12 min,,,3,No,0 hours 0 min
2021-09-05 ,6 hours 14 min,6 hours 3 min,21:01:52,21:05:52,15,Yes,0 hours 11 min
2021-09-06 ,5 hours 5 min,3 hours 53 min,22:40:22,23:52:22,8,Yes,1 hours 12 min
2021-09-07 ,11 hours 47 min,9 hours 11 min,00:01:22,21:58:24,25,Yes,2 hours 36 min
2021-09-08 ,0 hours 30 min,0 hours 0 min,04:29:26,05:32:26,2,Yes,0 hours 30 min
2021-09-11 ,5 hours 31 min,4 hours 33 min,04:35:52,05:33:52,19,Yes,0 hours 58 min
2021-09-12 ,1 hours 1 min,0 hours 0 min,22:22:35,23:23:35,1,Yes,1 hours 1 min
2021-09-13 ,1 hours 12 min,1 hours 12 min,,,2,No,0 hours 0 min
2021-09-15 ,6 hours 59 min,6 hours 59 min,,,15,No,0 hours 0 min
2021-09-16 ,4 hours 17 min,4 hours 17 min,,,9,No,0 hours 0 min
2021-09-17 ,5 hours 32 min,5 hours 32 min,,,11,No,0 hours 0 min
2021-09-18 ,4 hours 16 min,4 hours 16 min,,,7,No,0 hours 0 min
2021-09-19 ,0 hours 54 min,0 hours 54 min,,,2,No,0 hours 0 min
