Date,Total sleep time,Nap duration,Starting sleep time(night),Ending sleep time(night),Number of times woken up during sleep,Sleep during night,Total night sleep
2021-07-13 ,4 hours 47 min,2 hours 41 min,21:06:22,23:00:22,14,Yes,2 hours 6 min
2021-07-14 ,7 hours 6 min,4 hours 38 min,03:29:11,22:58:42,18,Yes,2 hours 28 min
2021-07-15 ,5 hours 39 min,3 hours 59 min,21:14:44,23:07:44,15,Yes,1 hours 40 min
2021-07-16 ,7 hours 22 min,5 hours 12 min,21:02:18,23:40:18,18,Yes,2 hours 10 min
2021-07-17 ,5 hours 31 min,3 hours 52 min,21:19:28,22:58:28,11,Yes,1 hours 39 min
2021-07-18 ,5 hours 47 min,3 hours 57 min,21:05:54,22:40:54,14,Yes,1 hours 50 min
2021-07-19 ,6 hours 22 min,5 hours 11 min,21:25:46,22:10:46,14,Yes,1 hours 11 min
2021-07-20 ,5 hours 48 min,4 hours 40 min,21:07:34,22:15:34,14,Yes,1 hours 8 min
2021-07-21 ,3 hours 28 min,1 hours 48 min,21:45:41,23:25:41,9,Yes,1 hours 40 min
2021-07-22 ,6 hours 22 min,5 hours 12 min,21:03:10,22:45:10,13,Yes,1 hours 10 min
2021-07-23 ,8 hours 21 min,5 hours 16 min,21:11:55,23:58:55,15,Yes,3 hours 5 min
2021-07-24 ,0 hours 26 min,0 hours 0 min,00:07:55,00:33:55,1,Yes,0 hours 26 min
2021-07-26 ,5 hours 1 min,4 hours 25 min,21:01:49,21:35:49,10,Yes,0 hours 36 min
2021-07-28 ,5 hours 54 min,4 hours 7 min,21:03:00,22:37:00,16,Yes,1 hours 47 min
2021-07-29 ,4 hours 36 min,3 hours 32 min,21:31:26,23:06:26,13,Yes,1 hours 4 min
2021-07-31 ,4 hours 9 min,3 hours 25 min,21:05:20,22:33:20,9,Yes,0 hours 44 min
2021-08-05 ,8 hours 47 min,6 hours 44 min,21:03:49,23:56:49,20,Yes,2 hours 3 min
2021-08-06 ,0 hours 8 min,0 hours 0 min,00:01:49,00:09:49,0,Yes,0 hours 8 min
2021-08-09 ,8 hours 40 min,6 hours 19 min,21:00:12,23:54:16,15,Yes,2 hours 21 min
2021-08-29 ,5 hours 2 min,3 hours 48 min,21:12:16,22:10:16,14,Yes,1 hours 14 min
2021-08-30 ,7 hours 26 min,5 hours 52 min,21:17:14,22:28:14,14,Yes,1 hours 34 min
2021-08-31 ,3 hours 41 min,1 hours 16 min,21:15:55,23:56:55,12,Yes,2 hours 25 min
