Date,Total sleep time,Nap duration,Starting sleep time(night),Ending sleep time(night),Number of times woken up during sleep,Sleep during night,Total night sleep
2021-07-31 ,4 hours 38 min,4 hours 38 min,,,9,No,0 hours 0 min
2021-08-01 ,6 hours 24 min,5 hours 8 min,06:03:22,07:18:22,14,Yes,1 hours 16 min
2021-08-02 ,6 hours 35 min,4 hours 54 min,05:10:38,06:46:38,14,Yes,1 hours 41 min
2021-08-03 ,6 hours 6 min,3 hours 36 min,05:26:12,07:53:12,11,Yes,2 hours 30 min
2021-08-04 ,2 hours 59 min,2 hours 59 min,,,4,No,0 hours 0 min
2021-08-05 ,3 hours 41 min,3 hours 41 min,,,7,No,0 hours 0 min
2021-08-06 ,4 hours 19 min,4 hours 19 min,,,10,No,0 hours 0 min
2021-08-07 ,1 hours 13 min,1 hours 13 min,,,2,No,0 hours 0 min
2021-08-08 ,1 hours 5 min,1 hours 5 min,,,2,No,0 hours 0 min
2021-08-09 ,4 hours 38 min,3 hours 35 min,04:37:25,05:32:25,9,Yes,1 hours 3 min
2021-08-11 ,7 hours 58 min,6 hours 58 min,04:45:05,05:44:05,11,Yes,1 hours 0 min
2021-08-12 ,3 hours 3 min,3 hours 3 min,,,3,No,0 hours 0 min
2021-08-13 ,4 hours 7 min,4 hours 7 min,,,10,No,0 hours 0 min
2021-08-14 ,3 hours 55 min,3 hours 55 min,,,6,No,0 hours 0 min
2021-08-15 ,0 hours 2 min,0 hours 2 min,,,1,No,0 hours 0 min
2021-08-16 ,5 hours 8 min,5 hours 8 min,,,7,No,0 hours 0 min
2021-08-17 ,1 hours 25 min,1 hours 25 min,,,1,No,0 hours 0 min
2021-08-18 ,5 hours 49 min,5 hours 49 min,,,8,No,0 hours 0 min
2021-08-19 ,1 hours 51 min,1 hours 51 min,,,2,No,0 hours 0 min
2021-08-20 ,5 hours 20 min,5 hours 20 min,,,8,No,0 hours 0 min
2021-08-21 ,5 hours 36 min,4 hours 20 min,05:42:32,06:43:32,11,Yes,1 hours 16 min
2021-08-22 ,1 hours 0 min,1 hours 0 min,,,2,No,0 hours 0 min
2021-08-23 ,3 hours 4 min,3 hours 4 min,,,4,No,0 hours 0 min
2021-08-24 ,1 hours 59 min,1 hours 59 min,,,3,No,0 hours 0 min
