Date,Total sleep time,Nap duration,Starting sleep time(night),Ending sleep time(night),Number of times woken up during sleep,Sleep during night,Total night sleep
2021-07-08 ,5 hours 4 min,4 hours 14 min,21:09:53,21:49:53,9,Yes,0 hours 50 min
2021-07-09 ,7 hours 12 min,6 hours 17 min,08:21:25,21:13:25,17,Yes,0 hours 55 min
2021-07-10 ,4 hours 53 min,3 hours 55 min,21:00:11,23:54:16,12,Yes,0 hours 58 min
2021-07-11 ,8 hours 58 min,3 hours 41 min,00:00:16,23:51:43,21,Yes,5 hours 17 min
2021-07-12 ,8 hours 23 min,4 hours 4 min,00:00:43,21:47:08,15,Yes,4 hours 19 min
2021-07-13 ,4 hours 17 min,2 hours 59 min,22:32:07,23:50:07,9,Yes,1 hours 18 min
2021-07-14 ,5 hours 25 min,3 hours 52 min,00:01:07,21:53:07,11,Yes,1 hours 33 min
2021-07-15 ,4 hours 30 min,2 hours 50 min,21:01:20,23:55:42,7,Yes,1 hours 40 min
2021-07-16 ,10 hours 30 min,4 hours 31 min,00:03:42,23:03:18,21,Yes,5 hours 59 min
2021-07-17 ,9 hours 27 min,4 hours 29 min,00:33:10,23:39:30,17,Yes,4 hours 58 min
2021-07-18 ,6 hours 6 min,3 hours 7 min,21:02:03,23:56:03,8,Yes,2 hours 59 min
2021-07-19 ,6 hours 3 min,3 hours 32 min,00:06:03,02:35:03,12,Yes,2 hours 31 min
2021-07-20 ,6 hours 12 min,5 hours 34 min,21:06:10,21:33:10,14,Yes,0 hours 38 min
2021-07-21 ,2 hours 52 min,2 hours 52 min,,,7,No,0 hours 0 min
2021-07-22 ,5 hours 38 min,5 hours 38 min,,,12,No,0 hours 0 min
2021-07-23 ,3 hours 49 min,3 hours 49 min,,,8,No,0 hours 0 min
2021-07-24 ,7 hours 57 min,5 hours 3 min,08:17:56,22:47:32,14,Yes,2 hours 54 min
2021-07-25 ,8 hours 55 min,4 hours 59 min,07:38:31,23:55:31,21,Yes,3 hours 56 min
2021-07-26 ,6 hours 26 min,1 hours 59 min,00:11:31,08:36:59,19,Yes,4 hours 27 min
2021-07-27 ,4 hours 31 min,4 hours 4 min,21:10:32,21:17:32,7,Yes,0 hours 27 min
2021-07-28 ,4 hours 22 min,1 hours 48 min,21:15:03,23:58:28,10,Yes,2 hours 34 min
2021-07-29 ,9 hours 23 min,5 hours 6 min,00:08:28,22:10:50,16,Yes,4 hours 17 min
2021-07-30 ,6 hours 53 min,2 hours 27 min,00:01:58,22:00:12,17,Yes,4 hours 26 min
2021-07-31 ,4 hours 57 min,3 hours 22 min,21:09:03,23:11:03,11,Yes,1 hours 35 min
2021-08-01 ,10 hours 31 min,4 hours 13 min,00:11:43,23:55:09,23,Yes,6 hours 17 min
2021-08-02 ,11 hours 19 min,5 hours 5 min,00:00:09,08:52:41,22,Yes,6 hours 14 min
2021-08-03 ,4 hours 39 min,2 hours 12 min,21:06:10,23:54:05,15,Yes,2 hours 27 min
2021-08-04 ,7 hours 34 min,1 hours 46 min,00:07:05,22:54:18,17,Yes,5 hours 48 min
2021-08-05 ,5 hours 57 min,4 hours 44 min,21:05:17,22:09:17,15,Yes,1 hours 13 min
2021-08-06 ,7 hours 27 min,3 hours 21 min,07:59:13,23:59:12,15,Yes,4 hours 6 min
2021-08-07 ,12 hours 5 min,6 hours 10 min,00:09:12,23:56:40,23,Yes,5 hours 55 min
2021-08-08 ,7 hours 44 min,3 hours 24 min,00:02:40,23:56:13,15,Yes,4 hours 20 min
2021-08-09 ,9 hours 15 min,4 hours 32 min,00:02:13,08:52:50,16,Yes,4 hours 43 min
2021-08-10 ,4 hours 13 min,2 hours 51 min,06:38:40,07:54:40,7,Yes,1 hours 22 min
2021-08-11 ,3 hours 14 min,3 hours 14 min,,,5,No,0 hours 0 min
2021-08-12 ,5 hours 14 min,2 hours 20 min,03:11:24,22:07:06,10,Yes,2 hours 54 min
2021-08-13 ,6 hours 58 min,3 hours 5 min,01:14:32,05:41:32,14,Yes,3 hours 53 min
2021-08-14 ,5 hours 30 min,3 hours 17 min,07:33:05,21:53:28,10,Yes,2 hours 13 min
2021-08-15 ,6 hours 24 min,5 hours 25 min,21:13:36,21:53:36,13,Yes,0 hours 59 min
2021-08-16 ,6 hours 13 min,2 hours 45 min,01:08:12,05:42:04,16,Yes,3 hours 28 min
2021-08-17 ,7 hours 46 min,4 hours 43 min,08:20:51,23:47:31,18,Yes,3 hours 3 min
2021-08-18 ,14 hours 32 min,5 hours 58 min,00:00:31,23:58:51,31,Yes,8 hours 34 min
2021-08-19 ,8 hours 46 min,4 hours 17 min,00:01:51,23:59:58,18,Yes,4 hours 28 min
2021-08-20 ,8 hours 9 min,2 hours 10 min,00:04:58,22:00:53,15,Yes,5 hours 59 min
2021-08-21 ,7 hours 37 min,5 hours 5 min,21:18:14,23:22:28,13,Yes,2 hours 32 min
2021-08-22 ,4 hours 20 min,1 hours 5 min,02:12:18,22:55:09,9,Yes,3 hours 15 min
2021-08-23 ,8 hours 55 min,4 hours 38 min,01:09:46,05:25:29,22,Yes,4 hours 17 min
2021-08-24 ,3 hours 55 min,3 hours 55 min,,,6,No,0 hours 0 min
2021-08-25 ,7 hours 44 min,5 hours 35 min,06:56:26,08:51:26,13,Yes,2 hours 9 min
2021-08-26 ,5 hours 5 min,3 hours 24 min,07:20:23,08:47:23,12,Yes,1 hours 41 min
2021-08-27 ,4 hours 46 min,4 hours 46 min,,,7,No,0 hours 0 min
2021-08-28 ,11 hours 19 min,6 hours 54 min,07:49:53,23:59:46,22,Yes,4 hours 25 min
2021-08-29 ,7 hours 24 min,4 hours 39 min,00:02:46,23:19:42,18,Yes,2 hours 45 min
2021-08-30 ,7 hours 17 min,5 hours 13 min,06:55:49,08:47:24,11,Yes,2 hours 4 min
2021-08-31 ,8 hours 23 min,4 hours 17 min,05:37:48,23:47:30,16,Yes,4 hours 6 min
2021-09-01 ,9 hours 0 min,4 hours 24 min,00:08:30,23:37:03,16,Yes,4 hours 36 min
2021-09-02 ,8 hours 32 min,2 hours 31 min,00:16:03,23:48:19,19,Yes,6 hours 1 min
